"","Dim1","Dim2","lake","year"
"site211",0.485293048444372,0.229557981754523,"elbow",1921.4706677731
"site221",0.482606493729141,0.207891296978692,"elbow",1915.41860334019
"site231",0.816374382693731,0.265212321762122,"elbow",1908.9748368605
"site241",0.750445602451153,0.270772574549394,"elbow",1902.16323532889
"site251",0.764532671485421,-0.165233683671699,"elbow",1895.14744354127
"site261",0.798736947327151,-0.169702525519191,"elbow",1887.88115852515
"site271",0.82850768401823,-0.174469497098634,"elbow",1880.31807730804
"site281",0.869267181601657,-0.461551217691184,"elbow",1872.41189691744
"site291",0.910118489926461,-0.633163205508235,"elbow",1864.18012770037
"site301",0.384806736751381,-0.570776553960534,"elbow",1855.66592183414
"site311",0.60436286588441,-0.158918012641459,"elbow",1846.8614390917
"site321",0.558167939473633,-0.161046912483273,"elbow",1837.75883924597
"site33",0.617652513493885,-0.242431322434837,"elbow",1828.35028206991
"site112",-1.19998495142293,0.0379551549691289,"etwin",2020.53903562697
"site212",-1.22005585184724,0.0248507810647549,"etwin",2020.4443440422
"site312",-1.23601346237014,0.0278575003901425,"etwin",2020.25808010764
"site411",-1.26701902838909,0.0546161912298341,"etwin",2019.98008545687
"site511",-1.19232337499321,0.0257894843162506,"etwin",2019.61020172349
"site611",-1.32076854911271,0.0820314999897394,"etwin",2019.14827054107
"site711",-1.21521499518921,0.046865897228743,"etwin",2018.59413354322
"site82",-1.24957842935673,0.0662784151899049,"etwin",2017.9476323635
"site92",-1.27211110337118,0.0773914483089347,"etwin",2017.20860863552
"site102",-0.865488588693667,0.183315186447619,"etwin",2016.37690399285
"site113",-1.36317982095864,0.11973009854928,"etwin",2015.45236006909
"site122",-1.25562701252594,0.0936620886550385,"etwin",2014.43481849782
"site132",-0.957459758792156,0.249743330200477,"etwin",2013.32412091262
"site142",-0.834261136189111,0.203841352467606,"etwin",2012.12841986823
"site152",-0.757482067580303,0.169490253812331,"etwin",2010.85366832814
"site162",-0.751803038601175,0.166332032293483,"etwin",2009.49640853911
"site172",-0.714158111059315,0.418180002303354,"etwin",2008.05318274791
"site182",-0.904371961239666,0.535387619105909,"etwin",2006.52053320129
"site192",-0.731417571441222,0.440649904532163,"etwin",2004.895002146
"site202",-0.532150686701545,0.309631221544146,"etwin",2003.17313182882
"site213",-0.67978674047836,-0.300531835762786,"etwin",2001.3514644965
"site222",-0.672394832791863,-0.30704215804829,"etwin",1999.42654239581
"site232",-0.520502757911006,-0.186736246943051,"etwin",1997.39490777349
"site242",-0.589862196204596,-0.19681534458344,"etwin",1995.25310287631
"site252",-0.134271972308088,-0.438088195569043,"etwin",1992.99766995103
"site262",-0.302833814667203,-0.439038185397829,"etwin",1990.63068016138
"site272",-0.23095163823917,-0.586614996482214,"etwin",1988.15618878115
"site282",-0.164662366373225,-0.596706988677449,"etwin",1985.5737142222
"site292",0.0116581978600465,0.0696287939014139,"etwin",1982.88277489639
"site302",-0.0409928485857253,0.0908208996153314,"etwin",1980.08288921558
"site313",0.53194794352352,-0.60516986348269,"etwin",1977.17357559163
"site322",0.534567809581106,-0.605605154555032,"etwin",1974.1543524364
"site331",0.0173911517358661,-0.415086475597984,"etwin",1971.02473816175
"site34",0.0767778026137359,-0.388615533634664,"etwin",1967.78425117954
"site35",-0.00934615258452902,-0.413814351643657,"etwin",1964.33707034259
"site36",-0.192927637032431,-0.428775606175317,"etwin",1960.63876032325
"site37",0.0546744712379306,-0.216422474370285,"etwin",1956.76591826269
"site38",0.182946629482694,-0.207524892377893,"etwin",1952.79514130207
"site39",0.124534595971166,-0.222681261590653,"etwin",1948.80302658254
"site40",0.057038507969113,-0.236048747994924,"etwin",1944.86617124527
"site41",0.217652151183098,-0.278729957610639,"etwin",1940.91740327153
"site42",0.101612107668253,-0.223452818551886,"etwin",1936.84916404855
"site43",0.150419605480023,-0.249428891342082,"etwin",1932.67747082648
"site44",0.240955697806336,-0.286093036244969,"etwin",1928.41834085546
"site45",0.831479653419498,-0.624718447539877,"etwin",1924.08779138563
"site46",1.02291918811608,-0.41926066635707,"etwin",1919.70183966713
"site47",1.03509527947288,-0.400996561093316,"etwin",1915.2765029501
"site48",1.11523570348616,-0.368241141816196,"etwin",1910.82779848469
"site49",1.0650396738439,-0.363161181968652,"etwin",1906.37174352103
"site50",1.16751152854986,-0.259346845352492,"etwin",1901.89495506198
"site51",0.491678611065384,0.138042327792373,"etwin",1897.37166518548
"site52",0.54602856477866,0.163892907112553,"etwin",1892.79931375432
"site53",0.828583786346107,0.276062286079475,"etwin",1888.17534063127
"site54",0.617001035590818,0.194731148621738,"etwin",1883.49718567912
"site55",0.62638450190488,0.372202921172847,"etwin",1878.76228876064
"site56",0.584582691627859,0.386680912963212,"etwin",1873.96808973862
"site57",0.831704977581008,0.363734299141267,"etwin",1869.11202847583
"site58",0.831704977581008,0.363734299141267,"etwin",1864.19154483507
"site59",0.831704977581008,0.363734299141267,"etwin",1859.2040786791
"site60",0.79201803648984,0.339775885956047,"etwin",1854.14706987072
"site61",0.845117260309778,0.361262488930658,"etwin",1849.02840641311
"site62",0.653198320494286,0.337838185052003,"etwin",1843.85568756907
"site63",0.822270040569433,0.338575981108548,"etwin",1838.62592009076
"site64",0.897601275579249,0.388337206795211,"etwin",1833.33611073037
"site65",0.885616363390693,0.382039516516117,"etwin",1827.98326624005
"site66",0.852997930431242,0.360147865948905,"etwin",1822.564393372
"site67",0.850011787139861,0.354798780021269,"etwin",1817.07649887837
"site68",0.758523219195936,0.311856167862329,"etwin",1811.51726219863
"site69",0.824521950246916,0.334120546611679,"etwin",1805.8892958735
"site70",0.78653059533785,0.312689884772728,"etwin",1800.19700630706
"site71",0.681763854768296,0.326440793907297,"etwin",1794.4447999034
"site114",-1.08376102898429,-0.759881846447862,"smoke",2018.72446718069
"site214",-0.846074412092785,-0.366093314701593,"smoke",2013.49635476518
"site314",-1.06418406703477,-0.734325940618004,"smoke",2008.22811257927
"site412",-1.08782348769986,0.00846623945980979,"smoke",2002.91243063353
"site512",-0.92191599266059,-0.0867486543794131,"smoke",1997.56344814645
"site612",-1.08255054156477,0.754420866987174,"smoke",1992.17680368553
"site712",-0.758352143367029,0.00520976729545344,"smoke",1986.75250432537
"site83",-0.835160191538287,0.409620957763816,"smoke",1981.3079883991
"site93",-0.664110459076635,0.631010398959773,"smoke",1975.84055651246
"site103",-0.868504602934327,0.464069293139103,"smoke",1970.34181805419
"site115",-0.667811057227132,0.249593000028331,"smoke",1964.82067453192
"site123",-0.138507399940481,0.11285640438137,"smoke",1959.28602745332
"site133",-0.43814967317754,-0.0636443382036513,"smoke",1953.95330078796
"site143",-0.470385017997792,-0.0482481128875085,"smoke",1948.4354641019
"site153",0.000941065566286483,-0.0576164114628763,"smoke",1942.92706785226
"site163",-0.0121637443723967,-0.0484689743743794,"smoke",1937.25029784503
"site173",0.0644200019389364,-0.0894086137970166,"smoke",1931.20535978704
"site183",0.159447518001153,-0.0905627667428076,"smoke",1924.97332503437
"site193",0.171230734378991,-0.182474679033791,"smoke",1918.94767786681
"site203",0.302432226630099,-0.191396171068907,"smoke",1912.96860051917
"site215",0.078693127154344,-0.156335682979613,"smoke",1907.37195630444
"site223",0.519639986103487,-0.224223889283815,"smoke",1901.95583078053
"site233",0.764888510869636,-0.260064816154215,"smoke",1896.5259477088
"site243",0.643723316308051,-0.23852047295895,"smoke",1890.88803085062
"site253",0.68344792857653,0.0791585262016036,"smoke",1885.16810372517
"site263",0.740639756328551,0.0766423143702534,"smoke",1879.35980410988
"site273",0.765082719497158,0.0763918600241436,"smoke",1873.07027715342
"site283",0.760905112444984,0.0754922147068424,"smoke",1866.28456060977
"site293",0.68841227849385,0.095666030315876,"smoke",1859.2417823277
"site303",0.92534795605243,0.10378117950466,"smoke",1851.93022259811
"site315",0.644987842660817,0.105389456839592,"smoke",1844.33816171191
"site323",0.746860816895886,0.0870185384637361,"smoke",1836.45387996
"site332",0.729752530041599,0.0951173063137616,"smoke",1828.26565763326
"site341",0.770047129892095,0.0870104334147917,"smoke",1819.76177502262
"site351",0.778553261833794,0.0810998969243134,"smoke",1810.93051241896
"site116",-1.9973125539709,0.617134176703859,"finger",2019.27979699042
"site216",-1.29244065202082,0.368516182249782,"finger",2016.75767741984
"site316",-0.935138764041188,-0.240368149249306,"finger",2013.3719533628
"site413",-0.750982666158035,-0.594524182653104,"finger",2009.1013846114
"site513",-0.372060970587276,-0.171660941518352,"finger",2003.96060972579
"site613",-0.245852113920748,-0.540343509448704,"finger",1997.98931175807
"site713",-0.198493100633494,-0.635506932480575,"finger",1990.95384950059
"site84",-0.0395187840483945,-0.27906913334552,"finger",1982.83982130321
"site94",0.292873910159399,-0.0967472249070258,"finger",1974.0157695542
"site104",0.0630255970617504,-0.144046010063837,"finger",1964.85023664187
"site117",0.57193073744693,0.00705403671870741,"finger",1954.99299152467
"site124",0.185284842525838,0.0532971981766408,"finger",1944.89455036725
"site134",0.305531141170747,-0.0969892375672616,"finger",1935.09150345991
"site144",0.444709790453635,0.0689410345029667,"finger",1925.33483570131
"site154",0.660566779078392,0.11870246957663,"finger",1915.96266664365
"site164",0.545738579841983,0.2668027812125,"finger",1906.49877057153
"site174",0.695554837888979,-0.000167447755503362,"finger",1896.67008781538
"site184",0.70197347055227,0.000376396025716588,"finger",1886.6961619118
"site194",0.519409346714912,0.143539435962419,"finger",1876.48563487879
"site204",0.588806832298677,0.395184231106059,"finger",1866.00111491675
"site217",0.256393740187344,0.759874826753908,"finger",1855.27850884305
"site118",-0.583620422913403,-1.33883809124143,"dunnigan",2018.9061796386
"site218",-0.762255436114194,-1.0048395753174,"dunnigan",2017.48875747663
"site317",-0.858593166184204,-0.987756346329925,"dunnigan",2015.37657935122
"site414",-0.681217528849471,-0.466237166194539,"dunnigan",2012.58593988094
"site514",-0.448959304143758,0.191201243581224,"dunnigan",2009.10458224935
"site614",-0.721373500635357,-0.0960015471793443,"dunnigan",2004.91127645558
"site714",-0.804017578022222,-0.120748297772173,"dunnigan",1999.98479249877
"site85",-0.978629427944343,0.381953732042472,"dunnigan",1994.30450361292
"site95",-0.318071614874198,-0.0658188132789553,"dunnigan",1987.87961835603
"site105",-0.309017951480202,0.485213228810441,"dunnigan",1980.73365971321
"site119",-0.692472739262477,0.367854457365664,"dunnigan",1972.89015066958
"site125",-0.742293100684526,0.444688997166459,"dunnigan",1963.89882404707
"site135",-0.364010781014514,0.809165997850931,"dunnigan",1954.25085342768
"site145",-0.198730918607254,0.917867948610439,"dunnigan",1944.08870532587
"site155",-0.0339626595949397,0.732610906089696,"dunnigan",1933.0477418946
"site165",0.0100580815759957,0.471794310846771,"dunnigan",1921.80299071694
"site175",0.315700351634111,0.249514842236506,"dunnigan",1911.02947937592
"site185",0.476255200561228,0.267438494431237,"dunnigan",1900.839665356
"site195",1.08896723259222,0.467972008144392,"dunnigan",1890.83672847281
"site205",0.957045743868777,-0.0122418130645926,"dunnigan",1880.93177980614
"site219",1.10821200510054,-0.247122868946157,"dunnigan",1871.03593043578
"site224",1.10179815207969,-0.379142396506505,"dunnigan",1861.1668310853
"site234",1.11096633656431,-0.426703966109543,"dunnigan",1851.38879258603
"site244",1.16007659872141,-0.318872022745303,"dunnigan",1841.68291617936
"site254",1.16814642762678,-0.322953262490362,"dunnigan",1832.02715894799
"site120",-1.76340669476929,-0.579315178817104,"wtwin",2022.48325619693
"site220",-1.73151696577458,-0.563874073417369,"wtwin",2021.17010014691
"site318",-1.67359147511962,-0.533494695341499,"wtwin",2019.81691511738
"site415",-1.57109612874864,-0.487914852294847,"wtwin",2018.42262026012
"site515",-1.70650179818738,-0.553513431048212,"wtwin",2016.98613472693
"site615",-1.65746036204561,-0.528441177699213,"wtwin",2015.50637766961
"site715",-1.66441712505016,-0.531201780019449,"wtwin",2013.98226823995
"site86",-1.57194674045815,0.0356260236817935,"wtwin",2012.41272558974
"site96",-1.50834542754952,0.0649653380694933,"wtwin",2010.79404152248
"site106",-1.39916892664106,0.10197498102909,"wtwin",2009.12511862568
"site1110",-0.66690332930236,-0.0741203187912012,"wtwin",2007.40879222715
"site126",-0.511731354858703,-0.0179315282919987,"wtwin",2005.64789765471
"site136",-1.12412870502412,0.428141415131304,"wtwin",2003.84527023618
"site146",-1.23417753094787,0.478186151302815,"wtwin",2002.00374529938
"site156",-0.344205673436288,0.483159671372306,"wtwin",2000.12615817213
"site166",-0.983176937861601,0.148446721504212,"wtwin",1998.21534418225
"site176",-0.833667031415951,0.427570248384397,"wtwin",1996.27413865755
