"","X1","X2","lake","year"
"site54",-0.816661074862764,0.140225227343671,"dunnigan",1861.1668310853
"site55",-0.827285466364279,0.123172849267357,"dunnigan",1851.38879258603
"site56",-0.827285466364279,0.123172849267357,"dunnigan",1841.68291617936
"site57",-0.827285466364279,0.123172849267357,"dunnigan",1832.02715894799
"site58",0.175220944208789,-0.0551711649519025,"etwin",2020.53903562697
"site59",0.175220944208789,-0.0551711649519025,"etwin",2020.4443440422
"site60",0.175220944208789,-0.0551711649519025,"etwin",2020.25808010764
"site61",0.175220944208789,-0.0551711649519025,"etwin",2019.98008545687
"site62",0.175220944208789,-0.0551711649519025,"etwin",2019.61020172349
"site63",0.175220944208789,-0.0551711649519026,"etwin",2019.14827054107
"site64",0.175220944208789,-0.0551711649519026,"etwin",2018.59413354322
"site65",0.175220944208789,-0.0551711649519026,"etwin",2017.9476323635
"site66",0.175220944208789,-0.0551711649519026,"etwin",2017.20860863552
"site67",0.175220944208789,-0.0551711649519026,"etwin",2016.37690399285
"site68",0.175220944208789,-0.0551711649519026,"etwin",2015.45236006909
"site69",0.175220944208789,-0.0551711649519026,"etwin",2014.43481849782
"site70",0.159582245054034,-0.0281340083798923,"etwin",2013.32412091262
"site71",0.179837960188817,-0.029161097644029,"etwin",2012.12841986823
"site72",0.179837960188817,-0.029161097644029,"etwin",2010.85366832814
"site73",0.179837960188817,-0.029161097644029,"etwin",2009.49640853911
"site74",0.160871454357911,-0.00188959110298528,"etwin",2008.05318274791
"site75",0.160871454357911,-0.00188959110298531,"etwin",2006.52053320129
"site76",0.160871454357911,-0.00188959110298526,"etwin",2004.895002146
"site77",0.164066930200827,-0.00769043373188604,"etwin",2003.17313182882
"site78",0.154534496144822,-0.00733624855383056,"etwin",2001.3514644965
"site79",0.154534496144822,-0.00733624855383058,"etwin",1999.42654239581
"site80",0.692699807497244,0.170484493339672,"etwin",1997.39490777349
"site81",0.692699807497244,0.170484493339672,"etwin",1995.25310287631
"site82",0.198479131749915,-0.0557482960214075,"etwin",1992.99766995103
"site83",0.198479131749915,-0.0557482960214075,"etwin",1990.63068016138
"site84",0.196494128616472,-0.064560609029862,"etwin",1988.15618878115
"site85",0.196494128616472,-0.064560609029862,"etwin",1985.5737142222
"site86",0.163860703649476,0.00868297970551362,"etwin",1982.88277489639
"site87",0.163860703649476,0.0086829797055136,"etwin",1980.08288921558
"site88",0.203066083609076,-0.0270495363615962,"etwin",1977.17357559163
"site89",0.203066083609076,-0.0270495363615962,"etwin",1974.1543524364
"site90",0.20952678261648,-0.0736867562953606,"etwin",1971.02473816175
"site91",0.20952678261648,-0.0736867562953606,"etwin",1967.78425117954
"site92",0.20952678261648,-0.0736867562953607,"etwin",1964.33707034259
"site93",0.172783014205197,-0.0711342654353991,"etwin",1960.63876032325
"site94",0.163535744333962,-0.0399444514289752,"etwin",1956.76591826269
"site95",0.163535744333962,-0.0399444514289752,"etwin",1952.79514130207
"site96",0.163535744333962,-0.0399444514289752,"etwin",1948.80302658254
"site97",0.163535744333962,-0.0399444514289752,"etwin",1944.86617124527
"site98",0.173147130299537,-0.0834290240776651,"etwin",1940.91740327153
"site99",0.173147130299537,-0.0834290240776652,"etwin",1936.84916404855
"site100",0.173147130299537,-0.0834290240776652,"etwin",1932.67747082648
"site101",0.173147130299537,-0.0834290240776652,"etwin",1928.41834085546
"site102",0.162183926687072,0.00750455480945833,"etwin",1924.08779138563
"site103",0.180730318417619,0.0146449142258321,"etwin",1919.70183966713
"site104",0.180730318417619,0.014644914225832,"etwin",1915.2765029501
"site105",0.180730318417619,0.0146449142258321,"etwin",1910.82779848469
"site106",0.180730318417619,0.0146449142258321,"etwin",1906.37174352103
"site107",0.15419883704766,0.0159503914786218,"etwin",1901.89495506198
"site108",0.15745712357491,-0.0458786760117805,"etwin",1897.37166518548
"site109",0.15745712357491,-0.0458786760117806,"etwin",1892.79931375432
"site110",0.15745712357491,-0.0458786760117806,"etwin",1888.17534063127
"site111",0.167303809478271,-0.0471210244639713,"etwin",1883.49718567912
"site112",0.166750972873386,-0.0380743300923158,"etwin",1878.76228876064
"site113",0.166750972873386,-0.0380743300923158,"etwin",1873.96808973862
"site114",0.166750972873386,-0.0380743300923158,"etwin",1869.11202847583
"site115",0.166750972873386,-0.0380743300923158,"etwin",1864.19154483507
"site116",0.166750972873386,-0.0380743300923158,"etwin",1859.2040786791
"site117",0.166750972873386,-0.0380743300923158,"etwin",1854.14706987072
"site118",0.166750972873386,-0.0380743300923158,"etwin",1849.02840641311
"site119",0.166750972873386,-0.0380743300923158,"etwin",1843.85568756907
"site120",0.166750972873386,-0.0380743300923158,"etwin",1838.62592009076
"site121",0.166750972873386,-0.0380743300923158,"etwin",1833.33611073037
"site122",0.166750972873386,-0.0380743300923158,"etwin",1827.98326624005
"site123",0.166750972873386,-0.0380743300923158,"etwin",1822.564393372
"site124",0.166750972873386,-0.0380743300923157,"etwin",1817.07649887837
"site125",0.166750972873386,-0.0380743300923157,"etwin",1811.51726219863
"site126",0.166750972873386,-0.0380743300923157,"etwin",1805.8892958735
"site127",0.166750972873386,-0.0380743300923157,"etwin",1800.19700630706
"site128",0.166750972873386,-0.0380743300923157,"etwin",1794.4447999034
"site129",0.0234575971897504,0.0365452886284383,"elbow",2018.30048530253
"site130",0.0165004751219947,0.0761052765575569,"elbow",2015.61921617665
"site131",0.0778695613759674,0.0334651288053231,"elbow",2012.70722993108
"site132",0.0778695613759675,0.0334651288053233,"elbow",2009.57662964261
"site133",0.103370400343545,0.063015974294202,"elbow",2006.20709609546
"site134",0.103370400343545,0.063015974294202,"elbow",2002.60276036795
"site135",0.0760595878918495,0.0818090896177729,"elbow",1998.77142276648
"site136",0.0760595878918495,0.081809089617773,"elbow",1994.6929699258
"site137",0.0993113138394341,0.0822911184237845,"elbow",1990.34728848064
"site138",0.0993113138394341,0.0822911184237845,"elbow",1985.73854706634
"site139",0.10181404428192,0.0901881728332819,"elbow",1980.8800528962
"site140",0.0859220370120885,0.0766585338907157,"elbow",1975.76540047187
"site141",0.0876936485264941,0.0359688160873311,"elbow",1970.24258384513
"site142",0.106633505659899,0.0444210612881444,"elbow",1964.31228902271
"site143",0.116729360336006,0.0410216928261458,"elbow",1958.19714843872
"site144",0.136751976173818,0.0447934313308156,"elbow",1952.11979452725
"site145",0.13610128065446,0.00649905597465658,"elbow",1945.98673870973
"site146",0.13610128065446,0.0064990559746566,"elbow",1939.68846599422
"site147",0.126942808574147,-0.0101253069757625,"elbow",1933.42356919473
"site148",0.126942808574147,-0.0101253069757625,"elbow",1927.38699983326
"site149",0.158514297931217,-0.00796186991443823,"elbow",1921.4706677731
"site150",0.158514297931217,-0.00796186991443827,"elbow",1915.41860334019
"site151",0.182574879050269,-0.0461422364134355,"elbow",1908.9748368605
"site152",0.182574879050269,-0.0461422364134355,"elbow",1902.16323532889
"site153",0.174349560253591,-0.0631696825122852,"elbow",1895.14744354127
"site154",0.174349560253591,-0.0631696825122852,"elbow",1887.88115852515
"site155",0.174349560253591,-0.0631696825122852,"elbow",1880.31807730804
"site156",0.178013504309181,-0.0327002265795309,"elbow",1872.41189691744
"site157",0.181469341883731,0.00694624298753286,"elbow",1864.18012770037
"site158",0.181469341883731,0.00694624298753289,"elbow",1855.66592183414
"site159",0.152940117530043,-0.0365969564074965,"elbow",1846.8614390917
"site160",0.152940117530043,-0.0365969564074966,"elbow",1837.75883924597
"site161",0.189040195569905,-0.0701451115991038,"elbow",1828.35028206991
"site162",0.0503051455923947,0.348108701020674,"finger",2019.27979699042
"site163",0.0481599959060661,0.367931547595,"finger",2016.75767741984
"site164",0.0549141672351458,0.400169880496413,"finger",2013.3719533628
"site165",0.0546945465163045,0.423130356840421,"finger",2009.1013846114
"site166",0.0683755482821715,0.429062486458238,"finger",2003.96060972579
"site167",0.0772939839848633,0.432046042599087,"finger",1997.98931175807
"site168",0.0708797681127575,0.417486402532573,"finger",1990.95384950059
"site169",0.0442154509706323,0.397288440825489,"finger",1982.83982130321
"site170",0.0461926316438254,0.414482922903707,"finger",1974.0157695542
"site171",0.0785240767163617,0.434598305695064,"finger",1964.85023664187
"site172",0.0543878734532656,0.399494424637213,"finger",1954.99299152467
"site173",0.0678142796881114,0.395682108612575,"finger",1944.89455036725
"site174",0.0756266290612935,0.435200744135225,"finger",1935.09150345991
"site175",0.0585744573233301,0.451303356560275,"finger",1925.33483570131
"site176",0.0610199029548542,0.419568496925751,"finger",1915.96266664365
"site177",0.0797386173134853,0.432857538749226,"finger",1906.49877057153
"site178",0.0875803619485962,0.435067398813563,"finger",1896.67008781538
"site179",0.0875803619485962,0.435067398813563,"finger",1886.6961619118
"site180",0.0878659648882523,0.401628308013888,"finger",1876.48563487879
"site181",0.0742975905240447,0.426941096436681,"finger",1866.00111491675
"site182",0.0891101457241562,0.45008816514263,"finger",1855.27850884305
"site183",0.0495898737182567,-0.00445467870756293,"flame",2014.67623246975
"site184",0.0495843470585516,-0.120618130281972,"flame",2009.17601095002
"site185",0.0216143939931315,-0.114456414054135,"flame",2003.45238186984
"site186",0.0466220893501585,-0.152006060883046,"flame",1997.49370167473
"site187",0.0323064121689286,-0.0638782724258421,"flame",1991.31043479879
"site188",0.0408673668206381,-0.0903488847227752,"flame",1984.90294945096
"site189",0.0120247654375895,-0.0461798386562169,"flame",1978.25084530179
"site190",0.0304859502040075,-0.115233998816255,"flame",1971.33372202181
"site191",0.114772272191963,-0.154516214256382,"flame",1964.21855409034
"site192",0.0525325345674457,-0.199441648569687,"flame",1956.85981924735
"site193",0.0516888481946328,-0.232569474657582,"flame",1949.36459010076
"site194",0.0928646934368563,-0.270472685113192,"flame",1941.47256264298
"site195",0.0880470985560728,-0.217268929510411,"flame",1933.19069394611
"site196",0.0897425267409021,-0.237631675136794,"flame",1924.29436940294
"site197",0.0679687737669851,-0.16131984942771,"flame",1914.94977199159
"site198",0.067968773766985,-0.16131984942771,"flame",1904.72633417749
"site199",0.0796115222777336,-0.22831039903445,"flame",1894.20058731494
"site200",0.0796115222777336,-0.228310399034451,"flame",1884.12862191225
"site201",0.0997964186548986,-0.160344701921016,"flame",1873.95205150298
"site202",0.0997964186548986,-0.160344701921016,"flame",1863.30638333662
"site203",0.102293881844205,-0.170408128468211,"flame",1852.14266555697
"site204",0.102293881844205,-0.170408128468211,"flame",1840.6183390658
"site205",0.102293881844205,-0.170408128468211,"flame",1828.70890443795
"site206",0.102293881844205,-0.170408128468211,"flame",1816.43147880735
"site207",0.102293881844205,-0.170408128468211,"flame",1803.79358339903
"site208",0.150824695303986,0.140603041044961,"smoke",2018.72446718069
"site209",0.171933192089076,0.0398839776151428,"smoke",2013.49635476518
"site210",0.186896448350394,0.0903624852670932,"smoke",2008.22811257927
"site211",0.176559946102687,0.0840352322948851,"smoke",2002.91243063353
"site212",0.178450473316009,0.0831258697322858,"smoke",1997.56344814645
"site213",0.219528501953271,0.00392242456119566,"smoke",1992.17680368553
"site214",0.165261278028781,0.108397865452271,"smoke",1986.75250432537
"site215",0.191379908343049,0.101601232591619,"smoke",1981.3079883991
"site216",0.180338994960496,0.0689831305951703,"smoke",1975.84055651246
"site217",0.179821330250554,0.0789422952559983,"smoke",1970.34181805419
"site218",0.168143727975567,0.12523774984323,"smoke",1964.82067453192
"site219",0.168823514475187,0.114306578198164,"smoke",1959.28602745332
"site220",0.177180024672064,0.104888752836538,"smoke",1953.95330078796
"site221",0.177180024672064,0.104888752836538,"smoke",1948.4354641019
"site222",0.159175357475869,0.154854352912747,"smoke",1942.92706785226
"site223",0.159175357475869,0.154854352912746,"smoke",1937.25029784503
"site224",0.159175357475869,0.154854352912746,"smoke",1931.20535978704
"site225",0.159175357475869,0.154854352912746,"smoke",1924.97332503437
"site226",0.189688771514794,0.131717860557203,"smoke",1918.94767786681
"site227",0.189688771514794,0.131717860557203,"smoke",1912.96860051917
"site228",0.189688771514794,0.131717860557203,"smoke",1907.37195630444
"site229",0.184945910394818,0.100304214135391,"smoke",1901.95583078053
"site230",0.180176854499956,0.104132757018843,"smoke",1896.5259477088
"site231",0.180176854499956,0.104132757018843,"smoke",1890.88803085062
"site232",0.177138001353659,0.0797151376447594,"smoke",1885.16810372517
"site233",0.177138001353659,0.0797151376447594,"smoke",1879.35980410988
"site234",0.177138001353659,0.0797151376447594,"smoke",1873.07027715342
"site235",0.177138001353659,0.0797151376447594,"smoke",1866.28456060977
"site236",0.177138001353659,0.0797151376447594,"smoke",1859.2417823277
"site237",0.177138001353659,0.0797151376447594,"smoke",1851.93022259811
"site238",0.177138001353659,0.0797151376447594,"smoke",1844.33816171191
"site239",0.177138001353659,0.0797151376447594,"smoke",1836.45387996
"site240",0.177138001353659,0.0797151376447594,"smoke",1828.26565763326
"site241",0.177138001353659,0.0797151376447594,"smoke",1819.76177502262
"site242",0.177138001353659,0.0797151376447594,"smoke",1810.93051241896
"site243",-0.00838211602663915,-0.427424743781811,"wtwin",2022.48325619693
"site244",-0.0083821160266391,-0.427424743781811,"wtwin",2021.17010014691
"site245",-0.00838211602663909,-0.427424743781811,"wtwin",2019.81691511738
"site246",-0.00838211602663912,-0.427424743781811,"wtwin",2018.42262026012
