"","lake","year_loess","depth","ast_formosa","aul_ambigua","sta_venter","tab_flocculosa","pse_elliptica","nav_cryptocephala","nit_perminuta","pin_subanglica","pse_brevistriata","sel_auldrekie","fra_crotonensis","sta_construens","aul_granulata","aul_subarctica","lin_intermedia","tab_fenestrata","ach_minutissimum","fra_mesolepta","sel_nigri","sta_pinnata","sel_saugerresii","dis_pseudostelligera","aul_tenella","pse_brevistriata_inflata","lin_comta","pse_robusta","sed_a","sed_b","sed_c","myxo","allo","diato","lutein","cantha","echine","phaeo_b","pheo_a","b_car"
"27","burnt",1866.41878720072,28,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0.395784903745241,1.07254124658697,0.441168587431103,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924
"28","burnt",1859.75783429338,29,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0.395784903745241,1.07254124658697,0.441168587431103,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924
"29","burnt",1852.87047825768,30,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0.395784903745241,1.07254124658697,0.441168587431103,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924
"30","burnt",1845.74958306586,31,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0.395784903745241,1.07254124658697,0.441168587431103,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924
"31","burnt",1838.43858996232,32,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0.395784903745241,1.07254124658697,0.441168587431103,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924
"32","burnt",1830.96214010586,33,9.5,54.25,9.5,5.75,13,0,0,0,0,0,0.25,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,1,0.5,0,0.395784903745241,1.07254124658697,0.441168587431103,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924
"33","dunnigan",2018.9061796386,2,0,0,0,6,0,19.75,11.25,4.25,4.75,2.75,0,0,0,0,0,1,1.75,0,0,0,3.25,0,0,0,0,1.75,0,2.25994595693681,0,3.08985849940228,5.05123847077651,5.01780068482666,16.3233342910472,1.56466360900988,4.53933784353394,35.2577507748603,50.4144190955529,20.0169635272874
"34","dunnigan",2017.48875747663,3,0,0,0,6,0,19.75,11.25,4.25,4.75,2.75,0,0,0,0,0,1,1.75,0,0,0,3.25,0,0,0,0,1.75,0,3.00354064199216,0,4.34101573655143,7.51095574898936,6.01301249029896,18.8765101770342,3.30405738685463,5.71627167867339,30.9068586446395,48.5002743202145,24.410659885261
"35","dunnigan",2015.37657935122,4,0,0,0,6,0,19.75,11.25,4.25,4.75,2.75,0,0,0,0,0,1,1.75,0,0,0,3.25,0,0,0,0,1.75,0,3.00354064199216,0,4.34101573655143,7.51095574898936,6.01301249029896,18.8765101770342,3.30405738685463,5.71627167867339,30.9068586446395,48.5002743202145,24.410659885261
"36","dunnigan",2012.58593988094,5,0,0,0,5.75,0,21.25,12.5,6,5.25,3.75,0,0,0,0,0,1,2.5,0,0,0,1.75,0,0,0,0,2.5,0,1.53950927167537,0,1.77126869844804,10.3114438030171,8.23678058232478,24.6668309520642,4.08543454110203,7.09296633965533,36.3777140359369,37.4543279276495,12.8611952264302
"37","dunnigan",2009.10458224935,6,0,0,0,5.75,0,21.25,12.5,6,5.25,3.75,0,0,0,0,0,1,2.5,0,0,0,1.75,0,0,0,0,2.5,0,2.25885916631762,0,3.36013898789915,9.78306925522541,8.05913555520272,23.3089808723343,1.61822176626329,5.32812423637998,31.2415091722656,24.0183601231278,4.86128062904287
"38","dunnigan",2004.91127645558,7,0,0,0,7.25,0,22.75,12.5,3.5,4,4.25,0,0,0,0,0,0.5,1.75,0,0,0,2.5,0,0,0,0,2.5,0,1.95613910966112,0,3.88758978393742,9.15664325324737,8.81982215402734,23.323710767545,4.39290341162394,5.19927187863498,33.1432826989902,39.9352912022778,21.2215698470875
"39","dunnigan",1999.98479249877,8,0,0,0,8,0,23.25,13,3.25,2,4.75,0,0,0,0,0,0.75,1.5,0,0,0,3,0,0,0,0,2.25,0,0.16553498868971,0,3.85422565185518,10.0900268278749,6.3281219925994,26.0006902200091,3.62057364992455,6.5262359550588,33.9949763305679,36.5174337525776,20.4125668998708
"40","dunnigan",1994.30450361292,9,0,0,0,18.25,0,18,12.5,3.25,1.75,3.75,0,0,0,0,0,0.5,2.5,0,0,0,2.75,0,0,0,0,3.5,0,3.28478938284741,0,4.97449566758125,12.1720452741804,9.4795281036831,31.2016079930293,5.84574520556633,7.38142980194805,58.2165531227057,32.7591245762135,17.9005108530011
"41","dunnigan",1987.87961835603,10,0,0,0,2.25,0,22.5,11,4.75,3.25,5.75,0,0,0,0,0,0.5,2,0,0,0,3,0,0,0,0,2,0,2.01382113574514,0,2.49691344423701,7.41567050981911,5.56407863094298,19.3998511866659,2.27235946814329,3.86926526354355,36.3966903829286,26.0032135639203,13.0558283271774
"42","dunnigan",1980.73365971321,11,0,0,0,11.5,0,18.75,10,4,7.25,3.5,0,0,0,0,0,0.5,2.25,0,0,0,2.25,0,0,0,0,2,0,2.01382113574514,0,2.49691344423701,7.41567050981911,5.56407863094298,19.3998511866659,2.27235946814329,3.86926526354355,36.3966903829286,26.0032135639203,13.0558283271774
"43","dunnigan",1972.89015066958,12,0,0,0,8.25,0,23.75,12.25,3.5,2.75,4.5,0,0,0,0,0,0.75,2.5,0,0,0,2.75,0,0,0,0,1.75,0,2.24081987079421,0,3.95541659989672,11.069281812611,8.29058118283526,26.8510858075795,5.17911028013836,7.66662129585156,66.3891831776693,38.4485329818815,24.0161123246021
"44","dunnigan",1963.89882404707,13,0,0,0,9.25,0,18.25,13.25,6,6,5.25,0,0,0,0,0,0.75,1,0,0,0,2.5,0,0,0,0,2.75,0,2.24081987079421,0,3.95541659989672,11.069281812611,8.29058118283526,26.8510858075795,5.17911028013836,7.66662129585156,66.3891831776693,38.4485329818815,24.0161123246021
"45","dunnigan",1954.25085342768,14,0,0,0,8,0,22.5,10.5,4.25,5,4,0,0,0,0,0,0.5,1.25,0,0,0,2.25,0,0,0,0,1,0,1.56009648967987,0,3.31187097459905,9.31028314490765,7.35682790566771,23.4792045753358,3.8632267559873,4.43063924643726,36.1183965529948,21.7570069017958,5.56826242850269
"46","dunnigan",1944.08870532587,15,0,0,0,8,0,22.5,10.5,4.25,5,4,0,0,0,0,0,0.5,1.25,0,0,0,2.25,0,0,0,0,1,0,1.56009648967987,0,3.31187097459905,9.31028314490765,7.35682790566771,23.4792045753358,3.8632267559873,4.43063924643726,36.1183965529948,21.7570069017958,5.56826242850269
"47","dunnigan",1933.0477418946,16,0,0,0,8.5,0,20,13.5,6.25,2,2.25,0,0,0,0,0,0.25,2.25,0,0,0,2.5,0,0,0,0,3.5,0,0.84142815198199,0,3.589060449852,9.90701387460863,7.29693038395489,23.3079990770734,0.300926107096257,6.18904566946719,43.3674653427492,25.1283906866142,9.38696903956411
"48","dunnigan",1921.80299071694,17,0,0,0,8.5,0,20,13.5,6.25,2,2.25,0,0,0,0,0,0.25,2.25,0,0,0,2.5,0,0,0,0,3.5,0,0.84142815198199,0,3.589060449852,9.90701387460863,7.29693038395489,23.3079990770734,0.300926107096257,6.18904566946719,43.3674653427492,25.1283906866142,9.38696903956411
"49","dunnigan",1911.02947937592,18,0,0,0,2,0,23,11.75,6,3,4,0,0,0,0,0,1,2.25,0,0,0,3.5,0,0,0,0,2.75,0,1.28579685058291,0,3.10863570449284,6.95084813483527,4.71713785543832,17.7806496477584,2.72938773227997,4.42652546318204,31.6630756108256,19.6658629329986,12.3623794626663
"50","dunnigan",1900.839665356,19,0,0,0,2,0,23,11.75,6,3,4,0,0,0,0,0,1,2.25,0,0,0,3.5,0,0,0,0,2.75,0,1.28579685058291,0,3.10863570449284,6.95084813483527,4.71713785543832,17.7806496477584,2.72938773227997,4.42652546318204,31.6630756108256,19.6658629329986,12.3623794626663
"51","dunnigan",1890.83672847281,20,0,0,0,4.75,0,16.25,13,4.5,3.75,3.25,0,0,0,0,0,0.5,2.5,0,0,0,3.5,0,0,0,0,3.5,0,0.456711110394913,0,2.69444640303205,5.64100615455227,4.31028508613205,14.6236680137518,1.64182456482668,3.10735211198245,2.0514388501555,9.53418555264266,5.30462787170348
"52","dunnigan",1880.93177980614,21,0,0,0,4.75,0,16.25,13,4.5,3.75,3.25,0,0,0,0,0,0.5,2.5,0,0,0,3.5,0,0,0,0,3.5,0,0.456711110394913,0,2.69444640303205,5.64100615455227,4.31028508613205,14.6236680137518,1.64182456482668,3.10735211198245,2.0514388501555,9.53418555264266,5.30462787170348
"53","dunnigan",1871.03593043578,22,0,0,0,6.25,0,18.5,11.25,4,6,4.25,0,0,0,0,0,1,1.75,0,0,0,2.75,0,0,0,0,3,0,0.474400791831227,0,1.95690769978753,4.07444821149587,3.25712872333227,10.2020275374838,0.958366030661703,2.73800530909261,17.9132612903114,8.83321896149654,5.43482206200993
