"","lake","year_loess","dmar_loess","base"
"112","Dunnigan",1954.25085342768,0.004791998976542,14
"113","Dunnigan",1944.08870532587,0.00444902554266318,15
"114","Dunnigan",1933.0477418946,0.00419096283757271,16
"115","Dunnigan",1921.80299071694,0.00400375791778853,17
"116","Dunnigan",1911.02947937592,0.00387335783982857,18
"117","Dunnigan",1900.839665356,0.00380300435816955,19
"118","Dunnigan",1890.83672847281,0.00377794166997097,20
"119","Dunnigan",1880.93177980614,0.00375712049577499,21
"120","Dunnigan",1871.03593043578,0.00369949155612378,22
"121","Dunnigan",1861.1668310853,0.00361368456395649,23
"122","Dunnigan",1851.38879258603,0.00352986357549624,24
"123","Dunnigan",1841.68291617936,0.00343928082621114,25
"124","Dunnigan",1832.02715894799,0.00333357790339312,26
"199","East Twin",2020.53903562697,0.0334312001032648,2
"200","East Twin",2020.4443440422,0.0326138946995176,3
"201","East Twin",2020.25808010764,0.031809184939416,4
"202","East Twin",2019.98008545687,0.0310170153323864,5
"203","East Twin",2019.61020172349,0.0302373303878553,6
"204","East Twin",2019.14827054107,0.0294700746152493,7
"205","East Twin",2018.59413354322,0.0287151925239947,8
"206","East Twin",2017.9476323635,0.0279726286235182,9
"207","East Twin",2017.20860863552,0.0272423274232461,10
"208","East Twin",2016.37690399285,0.0265242334326051,11
"209","East Twin",2015.45236006909,0.0258182911610215,12
"210","East Twin",2014.43481849782,0.025124445117922,13
"211","East Twin",2013.32412091262,0.0244426398127329,14
"212","East Twin",2012.12841986823,0.0237740327771848,15
"213","East Twin",2010.85366832814,0.0231195183194274,16
"214","East Twin",2009.49640853911,0.0224786461135159,17
"215","East Twin",2008.05318274791,0.0218509658335056,18
"216","East Twin",2006.52053320129,0.021236027153452,19
"217","East Twin",2004.895002146,0.0206333797474104,20
"218","East Twin",2003.17313182882,0.0200425732894359,21
"219","East Twin",2001.3514644965,0.0194631574535841,22
"220","East Twin",1999.42654239581,0.0188946819139101,23
"221","East Twin",1997.39490777349,0.0183366963444694,24
"222","East Twin",1995.25310287631,0.0177887504193172,25
"223","East Twin",1992.99766995103,0.0172503938125088,26
"224","East Twin",1990.63068016138,0.0167086423400074,27
"225","East Twin",1988.15618878115,0.0161553200916882,28
"226","East Twin",1985.5737142222,0.0155971891524752,29
"227","East Twin",1982.88277489639,0.0150410116072922,30
"228","East Twin",1980.08288921558,0.0144935495410631,31
"229","East Twin",1977.17357559163,0.0139615650387117,32
"230","East Twin",1974.1543524364,0.013451820185162,33
"231","East Twin",1971.02473816175,0.0129710770653377,34
"232","East Twin",1967.78425117954,0.0125260977641628,35
"233","East Twin",1964.33707034259,0.0120848983977181,36
"234","East Twin",1960.63876032325,0.0116240547973051,37
"235","East Twin",1956.76591826269,0.0111631686206787,38
"236","East Twin",1952.79514130207,0.0107218415255937,39
"237","East Twin",1948.80302658254,0.010319675169805,40
"238","East Twin",1944.86617124527,0.00997627121106743,41
"239","East Twin",1940.91740327153,0.00970557771938536,42
"240","East Twin",1936.84916404855,0.00949925291195911,43
"241","East Twin",1932.67747082648,0.00934346366733759,44
"242","East Twin",1928.41834085546,0.00922437686406969,45
"243","East Twin",1924.08779138563,0.00912815938070432,46
"244","East Twin",1919.70183966713,0.00904097809579037,47
"245","East Twin",1915.2765029501,0.00894899988787675,48
"246","East Twin",1910.82779848469,0.00883839163551236,49
"247","East Twin",1906.37174352103,0.00869532021724609,50
"248","East Twin",1901.89495506198,0.00853246177651476,51
"249","East Twin",1897.37166518548,0.00837199000296979,52
"250","East Twin",1892.79931375432,0.00821431809448198,53
"251","East Twin",1888.17534063127,0.00805985924892215,54
"252","East Twin",1883.49718567912,0.0079090266641611,55
"253","East Twin",1878.76228876064,0.00776223353806967,56
"254","East Twin",1873.96808973862,0.00761989306851866,57
"255","East Twin",1869.11202847583,0.00748241845337887,58
"256","East Twin",1864.19154483507,0.00735022289052113,59
"257","East Twin",1859.2040786791,0.00722371957781625,60
"258","East Twin",1854.14706987072,0.00710332171313504,61
"259","East Twin",1849.02840641311,0.00698735211726436,62
"260","East Twin",1843.85568756907,0.00687387800865841,63
"261","East Twin",1838.62592009076,0.00676292918168905,64
"262","East Twin",1833.33611073037,0.00665453543072811,65
"263","East Twin",1827.98326624005,0.00654872655014743,66
"264","East Twin",1822.564393372,0.00644553233431885,67
"265","East Twin",1817.07649887837,0.00634498257761422,68
"266","East Twin",1811.51726219863,0.00624797351429602,69
"267","East Twin",1805.8892958735,0.00615509665494617,70
"268","East Twin",1800.19700630706,0.00606592470841565,71
"269","East Twin",1794.4447999034,0.00598003038355544,72
"298","Elbow",2018.30048530253,0.0280599758276712,2
"299","Elbow",2015.61921617665,0.0293041630640131,3
"300","Elbow",2012.70722993108,0.0302876702264491,4
"301","Elbow",2009.57662964261,0.0309834080389554,5
"302","Elbow",2006.20709609546,0.0314338871971313,6
"303","Elbow",2002.60276036795,0.0315981246979408,7
"304","Elbow",1998.77142276648,0.0314585982615848,8
"305","Elbow",1994.6929699258,0.0310980803062259,9
"306","Elbow",1990.34728848064,0.0305993432500265,10
"307","Elbow",1985.73854706634,0.0295675104429591,11
"308","Elbow",1980.8800528962,0.0280757412525872,12
"309","Elbow",1975.76540047187,0.0269088621234598,13
"310","Elbow",1970.24258384513,0.0260505258159997,14
"311","Elbow",1964.31228902271,0.0251264663188275,15
"312","Elbow",1958.19714843872,0.0243846319187886,16
"313","Elbow",1952.11979452725,0.024072970902728,17
"314","Elbow",1945.98673870973,0.0245515456239563,18
"315","Elbow",1939.68846599422,0.0254964956382458,19
"316","Elbow",1933.42356919473,0.0261298850361352,20
"317","Elbow",1927.38699983326,0.0266878203442767,21
"318","Elbow",1921.4706677731,0.0276023316983263,22
"319","Elbow",1915.41860334019,0.0283893686023286,23
"320","Elbow",1908.9748368605,0.0285648805603284,24
"321","Elbow",1902.16323532889,0.0280874278018477,25
"322","Elbow",1895.14744354127,0.0273233447893762,26
"323","Elbow",1887.88115852515,0.0264002423764093,27
"324","Elbow",1880.31807730804,0.0254457314164423,28
"325","Elbow",1872.41189691744,0.0245874227629706,29
"326","Elbow",1864.18012770037,0.0237804263257346,30
"327","Elbow",1855.66592183414,0.0229032464346,31
"328","Elbow",1846.8614390917,0.0219685855732502,32
"329","Elbow",1837.75883924597,0.0209891462253687,33
"330","Elbow",1828.35028206991,0.0199776308746388,34
"397","Finger",2019.27979699042,0.0529269334840033,2
"398","Finger",2016.75767741984,0.0489802711548602,3
"399","Finger",2013.3719533628,0.0451948848835843,4
"400","Finger",2009.1013846114,0.0415065591698791,5
"401","Finger",2003.96060972579,0.0379693366441878,6
"402","Finger",1997.98931175807,0.0347188103810774,7
"403","Finger",1990.95384950059,0.0315728980018159,8
"404","Finger",1982.83982130321,0.0285233713594638,9
"405","Finger",1974.0157695542,0.0259666048762779,10
"406","Finger",1964.85023664187,0.0242989729745147,11
"407","Finger",1954.99299152467,0.0237613411627601,12
"408","Finger",1944.89455036725,0.0239133695748817,13
"409","Finger",1935.09150345991,0.0250622435484905,14
"410","Finger",1925.33483570131,0.0264234870536345,15
"411","Finger",1915.96266664365,0.027300358538398,16
"412","Finger",1906.49877057153,0.0278507887785659,17
"413","Finger",1896.67008781538,0.0277758816727921,18
"414","Finger",1886.6961619118,0.027363999905784,19
"415","Finger",1876.48563487879,0.0265151144570077,20
"416","Finger",1866.00111491675,0.0251859694060091,21
"417","Finger",1855.27850884305,0.0234240455817464,22
"496","Flame",2014.67623246975,0.0138184155156993,2
"497","Flame",2009.17601095002,0.0139204068670873,3
"498","Flame",2003.45238186984,0.0139837359635989,4
"499","Flame",1997.49370167473,0.013994498152097,5
"500","Flame",1991.31043479879,0.013952330175028,6
"501","Flame",1984.90294945096,0.0138576138142915,7
"502","Flame",1978.25084530179,0.0137019177390416,8
"503","Flame",1971.33372202181,0.0134768106184323,9
"504","Flame",1964.21855409034,0.0132282985124382,10
"505","Flame",1956.85981924735,0.0129308090716812,11
"506","Flame",1949.36459010076,0.0125630362428008,12
"507","Flame",1941.47256264298,0.0119716622825934,13
"508","Flame",1933.19069394611,0.0113315894077975,14
"509","Flame",1924.29436940294,0.0105274199171466,15
"510","Flame",1914.94977199159,0.00972614077279341,16
"511","Flame",1904.72633417749,0.00899232731074942,17
"512","Flame",1894.20058731494,0.00844560236222345,18
"513","Flame",1884.12862191225,0.00869599276172101,19
"514","Flame",1873.95205150298,0.00928353366519739,20
"515","Flame",1863.30638333662,0.00953006540391237,21
"516","Flame",1852.14266555697,0.00938111220114672,22
"517","Flame",1840.6183390658,0.00914280956307569,23
"518","Flame",1828.70890443795,0.00875076389309804,24
"519","Flame",1816.43147880735,0.00824065671981048,25
"520","Flame",1803.79358339903,0.00762535798661147,26
"595","Smoke",2018.72446718069,0.0118081240234134,2
"596","Smoke",2013.49635476518,0.0115527036778266,3
"597","Smoke",2008.22811257927,0.011363890264401,4
"598","Smoke",2002.91243063353,0.0112581018607855,5
"599","Smoke",1997.56344814645,0.0112072923260271,6
"600","Smoke",1992.17680368553,0.0112297576718272,7
"601","Smoke",1986.75250432537,0.0113233428668966,8
"602","Smoke",1981.3079883991,0.0114359420057391,9
"603","Smoke",1975.84055651246,0.0116750298363917,10
"604","Smoke",1970.34181805419,0.0120782686036319,11
"605","Smoke",1964.82067453192,0.0124888336470735,12
"606","Smoke",1959.28602745332,0.0127499003063308,13
"607","Smoke",1953.95330078796,0.0129547289997655,14
"608","Smoke",1948.4354641019,0.0127272197043418,15
"609","Smoke",1942.92706785226,0.0122550593575819,16
"610","Smoke",1937.25029784503,0.0120133670794857,17
"611","Smoke",1931.20535978704,0.0119477467250549,18
"612","Smoke",1924.97332503437,0.0118628835112925,19
"613","Smoke",1918.94767786681,0.0120225186011999,20
"614","Smoke",1912.96860051917,0.0124074646811459,21
"615","Smoke",1907.37195630444,0.0131309906390028,22
"616","Smoke",1901.95583078053,0.014124704338837,23
"617","Smoke",1896.5259477088,0.0150457394682585,24
"618","Smoke",1890.88803085062,0.0155512297148769,25
"619","Smoke",1885.16810372517,0.015775219583751,26
"620","Smoke",1879.35980410988,0.0159146030043554,27
"621","Smoke",1873.07027715342,0.0157207878009235,28
"622","Smoke",1866.28456060977,0.0151812459864318,29
"623","Smoke",1859.2417823277,0.0144426322610385,30
"624","Smoke",1851.93022259811,0.0134951284797495,31
"625","Smoke",1844.33816171191,0.0123289164975711,32
"626","Smoke",1836.45387996,0.0109341781695091,33
"627","Smoke",1828.26565763326,0.00930109535056983,34
"628","Smoke",1819.76177502262,0.00741984989575921,35
"629","Smoke",1810.93051241896,0.00528062366008336,36
"694","West Twin",2022.48325619693,0.0299981993372446,2
"695","West Twin",2021.17010014691,0.0293724927224486,3
"696","West Twin",2019.81691511738,0.0287860600192359,4
"697","West Twin",2018.42262026012,0.0282392594823692,5
"698","West Twin",2016.98613472693,0.0277324493666112,6
"699","West Twin",2015.50637766961,0.0272659879267247,7
"700","West Twin",2013.98226823995,0.0268402334174723,8
"701","West Twin",2012.41272558974,0.0264555440936166,9
"702","West Twin",2010.79404152248,0.0261143568891048,10
"703","West Twin",2009.12511862568,0.0258179541910763,11
"704","West Twin",2007.40879222715,0.0255649624340824,12
"705","West Twin",2005.64789765471,0.0253540080526746,13
"706","West Twin",2003.84527023618,0.0251837174814042,14
"707","West Twin",2002.00374529938,0.0250527171548226,15
"708","West Twin",2000.12615817213,0.0249596335074812,16
"709","West Twin",1998.21534418225,0.0249030929739314,17
"710","West Twin",1996.27413865755,0.0248817219887245,18
"711","West Twin",1994.30537692585,0.024894146986412,19
"712","West Twin",1992.27133118634,0.0249723806632726,20
"713","West Twin",1990.14379554302,0.025139081061177,21
"714","West Twin",1987.93988818097,0.0253788426330642,22
