"lake","bottom_interval_cm","name","value"
"finger",4,"recalcitrant",0.676369565801725
"finger",4,"ironbound",0.127851363705349
"finger",4,"mobile",0.323630434157689
"finger",6,"labile",0.210195191663764
"finger",6,"recalcitrant",0.678426259871894
"finger",6,"ironbound",0.11137854850409
"finger",6,"mobile",0.321573740167854
"finger",7,"labile",0.200305153390856
"finger",7,"recalcitrant",0.695783187885661
"finger",7,"ironbound",0.103911658700754
"finger",7,"mobile",0.304216812091609
"finger",9,"labile",0.203546486803812
"finger",9,"recalcitrant",0.72210502662793
"finger",9,"ironbound",0.0743484864693361
"finger",9,"mobile",0.277894973273148
"finger",11,"labile",0.178303040227003
"finger",11,"recalcitrant",0.756217624289417
"finger",11,"ironbound",0.0654793354228284
"finger",11,"mobile",0.243782375649831
"finger",12,"labile",0.175390948124389
"finger",12,"recalcitrant",0.755380110954003
"finger",12,"ironbound",0.0692289408191399
"finger",12,"mobile",0.244619888943528
"finger",13,"labile",0.0441951896741019
"finger",13,"recalcitrant",0.888449149024658
"finger",13,"ironbound",0.0673556612515047
"finger",13,"mobile",0.111550850925607
"finger",14,"labile",0.163129518700373
"finger",14,"recalcitrant",0.773592005088842
"finger",14,"ironbound",0.063278476227477
"finger",14,"mobile",0.22640799492785
"finger",15,"labile",0.15574049022959
"finger",15,"recalcitrant",0.792105208844148
"finger",15,"ironbound",0.0521543008660957
"finger",15,"mobile",0.207894791095686
"finger",16,"labile",0.154883706609011
"finger",16,"recalcitrant",0.789649241887347
"finger",16,"ironbound",0.0554670515727876
"finger",16,"mobile",0.210350758181798
"finger",17,"labile",0.143283530982677
"finger",17,"recalcitrant",0.800192675237813
"finger",17,"ironbound",0.0565237938096325
"finger",17,"mobile",0.19980732479231
"finger",18,"labile",0.129685881263938
"finger",18,"recalcitrant",0.822332741319634
"finger",18,"ironbound",0.0479813773950229
"finger",18,"mobile",0.177667258658961
"finger",20,"labile",0.12181781425722
"finger",20,"recalcitrant",0.829457523276522
"finger",20,"ironbound",0.0487246624354663
"finger",20,"mobile",0.170542476692687
"finger",22,"labile",0.124830892798721
"finger",22,"recalcitrant",0.827594185762532
"finger",22,"ironbound",0.0475749214405989
"finger",22,"mobile",0.17240581423932
