"","lake","year_loess","depth","percent_organic","percent_ca_co3","percent_inorg","ex_p","bd_p","na_oh_p","pers_p","labile_o_p","mineral_p","tp_results_mg_p_g","recalcitrant_o_p","concentration_si_o2","ast_formosa","aul_ambigua","aul_granulata","aul_subarctica","fra_crotonensis","lin_comta","nav_cryptocephala","nit_perminuta","pse_elliptica","sel_nigri","sel_saugerresii","sta_construens","sta_pinnata","sta_venter","tab_fenestrata","tab_flocculosa","chl_c1","chl_c2","fuco","sed_a","sed_b","sed_c","diadino","sudan","myxo","allo","diato","lutein","cantha","chl_b","chl_a","chl_ap","echine","phaeo_b","pheo_a","b_car","perc_TOC","perc_TN","TOC_TN_ratio"
"21","burnt",1903.63441744737,22,42.2166246851386,8.01914357682582,49.7642317380356,6.88206992527105e-05,0.00109391189528462,0.00149986737514878,0.0049412725394976,0.00344140516434883,0.00253464259629133,0.0133517781240193,0.00471313039369307,286.084779996775,9.5,42.25,0,0.5,0.25,0.75,0,0,23.75,0.5,0.5,0,0,5.75,0,8.25,0,0,1.1559360823751,0.449862131028417,1.33369099447097,0.16977403049218,0,2896.763157,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,5.16841459600259,4.03964319167073,2.73434595772393,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163,23.23,2.22,10.463963963964
"22","burnt",1897.86542843212,23,42.5074925074924,8.1782217782219,49.3142857142857,6.88206992527105e-05,0.00109391189528462,0.00149986737514878,0.0049412725394976,0.00344140516434883,0.00253464259629133,0.0133517781240193,0.00471313039369307,286.084779996775,9.5,42.25,0,0.5,0.25,0.75,0,0,23.75,0.5,0.5,0,0,5.75,0,8.25,0,0,1.1559360823751,0.449862131028417,1.33369099447097,0.16977403049218,0,2896.763157,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,5.16841459600259,4.03964319167073,2.73434595772393,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163,24.26,2.2,11.0272727272727
"23","burnt",1891.82306253553,24,42.7807486631016,7.7384540593093,49.4807972775891,6.88206992527105e-05,0.00109391189528462,0.00149986737514878,0.0049412725394976,0.00344140516434883,0.00253464259629133,0.0133517781240193,0.00471313039369307,286.084779996775,9.5,42.25,0,0.5,0.25,0.75,0,0,23.75,0.5,0.5,0,0,5.75,0,8.25,0,0,1.1559360823751,0.449862131028417,1.33369099447097,0.16977403049218,0,2896.763157,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,5.16841459600259,4.03964319167073,2.73434595772393,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163,24.26,2.2,11.0272727272727
"24","burnt",1885.55547464712,25,43.009708737864,7.72718446601908,49.263106796117,6.88206992527105e-05,0.00109391189528462,0.00149986737514878,0.0049412725394976,0.00344140516434883,0.00253464259629133,0.0133517781240193,0.00471313039369307,286.084779996775,9.5,42.25,0,0.5,0.25,0.75,0,0,23.75,0.5,0.5,0,0,5.75,0,8.25,0,0,1.1559360823751,0.449862131028417,1.33369099447097,0.16977403049218,0,2896.763157,1.50761035687696,7.72151780088899,8.21257200297108,9.62655089152822,4.09385574612651,5.16841459600259,4.03964319167073,2.73434595772393,1.41785831952551,15.2887126204847,14.1300800819102,2.32103563919163,24.26,2.2,11.0272727272727
"25","burnt",1879.26638262815,26,42.6672994779307,8.31029900332206,49.0224015187472,7.31214287966629e-05,0.000973141646837825,1.86966257606697e-05,0.00503067427247047,0.0050119776467098,0.00238533264650768,0.0138944486385501,0.00543217864393741,303.858192279085,9.5,54.25,0,0,0.25,0.5,0,0,13,0.5,0.5,0,0.5,9.5,0,5.75,0,0,1.22449737518951,0,1.57893030550368,0.827053728391981,0,3303.361674,1.35064488401287,7.46345355271802,7.70275856967437,10.3229496617675,3.52181255139895,4.5989561811869,3.30333319506462,1.94135041976144,1.12040804258491,8.54515761003068,10.1166285744842,1.50644692265776,24.26,2.2,11.0272727272727
"26","burnt",1872.90456172916,27,42.6182513139035,7.60535117056821,49.7763975155283,7.31214287966629e-05,0.000973141646837825,1.86966257606697e-05,0.00503067427247047,0.0050119776467098,0.00238533264650768,0.0138944486385501,0.00543217864393741,303.858192279085,9.5,54.25,0,0,0.25,0.5,0,0,13,0.5,0.5,0,0.5,9.5,0,5.75,0,0,1.22449737518951,0,1.57893030550368,0.827053728391981,0,3303.361674,1.35064488401287,7.46345355271802,7.70275856967437,10.3229496617675,3.52181255139895,4.5989561811869,3.30333319506462,1.94135041976144,1.12040804258491,8.54515761003068,10.1166285744842,1.50644692265776,24.26,2.2,11.0272727272727
"27","burnt",1866.41878720072,28,42.6806083650188,7.78174904942976,49.5376425855515,7.31214287966629e-05,0.000973141646837825,1.86966257606697e-05,0.00503067427247047,0.0050119776467098,0.00238533264650768,0.0138944486385501,0.00543217864393741,303.858192279085,9.5,54.25,0,0,0.25,0.5,0,0,13,0.5,0.5,0,0.5,9.5,0,5.75,0,0,1.03024532376501,0.395784903745241,1.07254124658697,0.441168587431103,0,3625.662528,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,4.01246688407474,2.89732744478674,1.78488630266678,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924,24.26,2.2,11.0272727272727
"28","burnt",1859.75783429338,29,43.3270676691728,7.58712406015071,49.0858082706764,7.31214287966629e-05,0.000973141646837825,1.86966257606697e-05,0.00503067427247047,0.0050119776467098,0.00238533264650768,0.0138944486385501,0.00543217864393741,303.858192279085,9.5,54.25,0,0,0.25,0.5,0,0,13,0.5,0.5,0,0.5,9.5,0,5.75,0,0,1.03024532376501,0.395784903745241,1.07254124658697,0.441168587431103,0,3625.662528,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,4.01246688407474,2.89732744478674,1.78488630266678,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924,24.54,2.19,11.2054794520548
"29","burnt",1852.87047825768,30,42.6305970149254,7.4244402985071,49.9449626865675,7.31214287966629e-05,0.000973141646837825,1.86966257606697e-05,0.00503067427247047,0.0050119776467098,0.00238533264650768,0.0138944486385501,0.00543217864393741,303.858192279085,9.5,54.25,0,0,0.25,0.5,0,0,13,0.5,0.5,0,0.5,9.5,0,5.75,0,0,1.03024532376501,0.395784903745241,1.07254124658697,0.441168587431103,0,3625.662528,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,4.01246688407474,2.89732744478674,1.78488630266678,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924,24.54,2.19,11.2054794520548
"30","burnt",1845.74958306586,31,42.8302773859897,8.3390691114241,48.8306535025862,7.31214287966629e-05,0.000973141646837825,1.86966257606697e-05,0.00503067427247047,0.0050119776467098,0.00238533264650768,0.0138944486385501,0.00543217864393741,303.858192279085,9.5,54.25,0,0,0.25,0.5,0,0,13,0.5,0.5,0,0.5,9.5,0,5.75,0,0,1.03024532376501,0.395784903745241,1.07254124658697,0.441168587431103,0,3625.662528,1.16009802567775,6.77005148940441,6.76114785121314,8.91474375821789,3.32719121890344,4.01246688407474,2.89732744478674,1.78488630266678,0.988167636482971,11.7935274759173,10.3887850660114,1.79487931103924,24.54,2.19,11.2054794520548
